text,assistant
"[PERSON_NAME]. And my phone number is [PHONE_NUMBER].","No worries. I'll set that up and we'll see you very soon."
"Is that pickup or delivery?","If I order a pickup, how soon would that be ready?"
"20 minutes.","20 minutes is okay. What's the delivery time?"
"An hour, 20.","Okay."
"Would you like to go for pickup?","Yes, please."
"Okay. Can I get your phone number first, please?","[PHONE_NUMBER]. [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER]."
"Thank you. That's [PERSON_NAME]?","Yes."
"And you'd like a carbonara? What pasta would you like with that?","I'll get fettuccine, please."
"Fettuccine. Is that an entree size or a main size?","Sorry, I missed that. I'll get a main. Thanks."
"Okay, you'll get a main. Okay. Anything else?","And a lasagna too, please."
"And a lasagna. Would you like anything else?","No, that's all. Thank you."
"Thank you. That's $48. It'll be ready for you to pick up in minutes.","20 minutes. Okay, great."
"Thank you.","Thank you very much. Cheers."
"Yes. [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER]. [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER]. [PHONE_NUMBER]. [PHONE_NUMBER] [PHONE_NUMBER].","[PHONE_NUMBER] [PHONE_NUMBER]. [PHONE_NUMBER]. [PHONE_NUMBER] [PHONE_NUMBER]."
"Yes. [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER]. [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER]. [PHONE_NUMBER], [PHONE_NUMBER] [PHONE_NUMBER].","Perfect. Thank you. Is that for [PERSON_NAME]?"
"Yeah.","And it's [LOCATION]. [LOCATION] [LOCATION] [LOCATION] [LOCATION] [LOCATION]. Sorry, that was a yes."
"That's right.","Thank you. What would you like?"
"Could I please have a large cabanara? Cabanara, please.","What pasta would you like with that?"
"Just the ordinary spaghetti.","Spaghetti. Anything else?"
"Can I have a lasagna and could I have a small pizza with garlic and cheese, please?","Okay. Would you like anything else?"
"No, that's all.","Thank you. You've got a main spaghetti carbonara, a lasagna and a [ITEM_SIZE] garlic cheese pizza?"
"Yes.","Thank you. At $65. Would you like to pay by cash or card?"
"Cash. 65.","And it should be with you in an hour. Ten."
"[PHONE_NUMBER].","Yeah. [PHONE_NUMBER], [PHONE_NUMBER] [PHONE_NUMBER]. Can I get anything else for you?"
"Extra cheese on the base.","Extra cheese on the base. Got it. Anything else?"
"All right. For pickup it's 20 minutes, and for delivery it's an hour.","For delivery it's an hour. Okay. So we might come pick it up."
"Think. Okay, just a moment, please. Can I please have your phone number?","Yes, it's [PHONE_NUMBER]."
"For [PERSON_NAME].","Yes, [PERSON_NAME]."
"Okay. What would you like to order?","Can I please have a king size town and country."
"Sorry?","King size country special with no cheese."
"With no cheese.","Yes."
"Okay, just a moment. Removing cheese. Okay. What else?","Can I also have another king, but I'd like to have half Virginian with no cheese."
"Okay, half Virginian. Let me remove the cheese.","Yes. And the other half? A country special with no cheese and no shredded ham."
"Okay, just a moment. No cheese, no ham. Anything else?","Can we have the Virginian ham on it instead of the shredded ham?"
"Okay, just a moment. Okay, you got it. That's good. Okay, great. And can I have a garlic bread too, please?","Sure. Anything else?"
"Well, actually, how many pieces are in a garlic bread?","I think they're just like two or. Just a moment. Let me check. Sorry about that. That's all right. I think there are two."
"There's only two pieces in a garlic bread.","In a garlic bread sort of life thing? Yes. Just a moment."
"Normally there's around maybe six or something.","Let me confirm it. Can you give me a moment?"
"Sure.","Thanks. Just a moment. Sorry."
"It's all right.","Okay. Four in one serving."
"Four. Okay, great. Can I please have two garlic breads then?","Okay, you got it. Anything else?"
"No, that's a lot. Thanks.","Okay, let me repeat your order for you. So you have a [ITEM_SIZE] country special with no [ITEM_INGREDIENT]. And then you have another [ITEM_SIZE] with half the Virginian, no [ITEM_INGREDIENT] and no shredded ham. But you have added Virginian ham on it. And then the other half is country special with no [ITEM_INGREDIENT]. Correct?"
"No. So the first half, the Virginian, it doesn't have shredded ham. It only has the Virginian ham. So it's just the first half as in the Virginian that's got no cheese. And then the second half with the country special, no shredded ham on that. But can we add the Virginian ham on that one?","Okay, I got it. Sorry about that."
"No, that's okay. It is confusing when I do things different to the menu.","Got it. So I've removed ham on the country special and added Virginian ham to it, correct."
"Perfect. Yes. And actually, can we have no cheese on that, too, please?","Yes. I think I've removed the [ITEM_INGREDIENT] from."
"I think you did.","Yes. It's good to recheck it. Okay, so let me repeat it again. So you have a [ITEM_SIZE] country special with no [ITEM_INGREDIENT], then another [ITEM_SIZE] with half Virginian no [ITEM_INGREDIENT]. And the other half is country special with no [ITEM_INGREDIENT] and with shredded ham removed and Virginian ham added, correct?"
"Yes. Perfect.","And like two servings of garlic bread."
"Yes. Thank you.","All right. That would be $85 and you can come pick it up in 20 minutes."
"Okay. Fantastic. Thank you so much.","Have a good day. Enjoy your meal. Bye."
"No. Is it.","Sorry, can you hear me?"
"Yeah, sorry. I heard that.","Okay. Could you read that phone number again, please?"
"Sorry, man. Yeah, it's [PHONE_NUMBER]. I'll try moving to a different location.","That's better. Wonderful. I can hear you better now. Is that [PERSON_NAME]?"
"Yes.","All right. Wonderful. Let's begin. Which pizzas would you like to order?"
"Can I grab both large pizzas? If I could grab a margarita?","Certainly, one [ITEM_SIZE] [ITEM_NAME] pizza. What would you like for your second pizza?"
"And a Hawaiian with extra cheese on top.","One [ITEM_SIZE] [ITEM_NAME] pizza with extra [ITEM_INGREDIENT] on top. Will that be all for today?"
"Just those two.","Okay, wonderful. Your total is $42.50 and your order will be ready for pickup in about 20 minutes. Does that work for you?"
"Yes, it's [PHONE_NUMBER] thank you.","The name, please?"
"Yes, is [PERSON_NAME].","Thank you. And your order, please?"
"Can we get a large town special, a large barbecue chicken. Okay, a large [LOCATION] chicken. Can we get a small Hawaiian, but with no pineapple?","Okay, one [ITEM_SIZE] town special, one [ITEM_SIZE] barbecue chicken, one [ITEM_SIZE] [LOCATION] chicken, and one [ITEM_SIZE] [ITEM_NAME] with no [ITEM_INGREDIENT], anything else?"
"Can we also get a salad, a Greek salad or an Italian salad?","Sorry, Italian salad. Anything else?"
"Yes. Can we also get some fettuccine carbonara, Main.","Okay, one main fettuccine carbonara. Anything else?"
"And can we get a garlic bread?","And a garlic bread. Would you like anything else?"
"And a two liter bottle of coke.","Okay, a two liter bottle of coke. Anything else?"
"No, that'd be fine.","Thank you. I'll repeat your order for you. You've got a [ITEM_SIZE] town special, a [ITEM_SIZE] barbecue chicken, a [ITEM_SIZE] [LOCATION] chicken, a [ITEM_SIZE] [ITEM_NAME] with the [ITEM_INGREDIENT] removed, an Italian salad, a main serving of fettuccine carbonara, a serving of garlic bread, and a two liter bottle of coke. Is that correct?"
"Yes, that's great.","Thank you. That's 122.40, and it should be ready for you to pick up in 20 minutes."
"20 minutes. Look, thank you very much for that.","You're very welcome. Thank you."
"Hi, I'd like to make a reservation for Sunday.","For Sunday? Yeah. How many people is that for?"
"Eight people.","Eight people. And for what time?"
"06:00 p.m.","06:00. And could I just grab a name and phone number for this one?"
"Yeah, [PERSON_NAME] [PERSON_NAME]. [PHONE_NUMBER].","No worries. So on Sunday, a booking for eight people at 06:00. Under [PERSON_NAME] with [PHONE_NUMBER]."
"[PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER].","No worries. We'll see you then. Have a lovely night."
"[PHONE_NUMBER]","Thank you. Just a moment. This is for [PERSON_NAME] [PERSON_NAME]."
"Yes.","All right. What would you like to order?"
"Could I have an entree size fettuccine bolognaise?","For sure. One [ITEM_SIZE] [ITEM_NAME]. Anything else?"
"And also a small barbecue chicken pizza.","Sure. One [ITEM_SIZE] [ITEM_NAME] pizza. Would you like any sides or drinks with that?"
"No, thank you.","All right. I have one [ITEM_SIZE] [ITEM_NAME] and one [ITEM_SIZE] [ITEM_NAME] pizza. Your total is $36. Your order will be ready in about 20 minutes."
"Thank you. And the name, please?","Name [PERSON_NAME]."
"Thank you. And your order, please?","Can I get a [ITEM_SIZE] [ITEM_NAME]? That's it. Thanks."
"Delivery.","Okay. Just a moment, please. Can I please have your phone number?"
"Oh.","Four."
"[PHONE_NUMBER] [PHONE_NUMBER]. [PHONE_NUMBER].","Okay. Just a moment. Is it for [PERSON_NAME]?"
"Yes.","It's [LOCATION] [LOCATION] [LOCATION]. [LOCATION] [LOCATION], [LOCATION]."
"That's the one.","All right. What would you like to order?"
"Can I have a large Aussie?","Okay. Would you like any toppings or customizations on that?"
"Can I get cheese on top of that?","Cheese? Sure, anything else?"
"Yes. And pineapple.","Okay. What else?"
"And can I get two cans of Diet Coke?","All right. Just a moment. Okay. What else?"
"That'll do. Thank you.","All right, let me repeat your order for you. So, you have a [ITEM_SIZE] [ITEM_NAME] with [ITEM_INGREDIENT] and [ITEM_INGREDIENT] on top. And two cans of coke. No sugar, correct?"
"That's the one.","All right. That would be $36. Would you like to pay by card or by cash?"
"I'll pay by cash. Thank you.","Okay, it will be delivered to you in an hour."
"Okay, no worries. Thank you.","All right. Thank you. Have a good day. Enjoy your meal. Bye bye. Oh, sorry. I just got a message. Deliveries are 80 minutes, so you're going to get it in, like, 80 minutes. Okay."
"[PHONE_NUMBER] [PHONE_NUMBER], [PHONE_NUMBER].","[PHONE_NUMBER]. [PHONE_NUMBER] okay, just a moment, please. Is it for [PERSON_NAME]?"
"Yeah.","All right. What would you like to order?"
"Can I get a large half roast special?","Okay, what else?"
"And half margarita with mushrooms, please.","Okay, just a moment. Got it. Anything else?"
"That's all, thanks.","All right, a [ITEM_SIZE] half roast special, half [ITEM_NAME] with [ITEM_INGREDIENT], correct?"
"Yes.","That would be $27 and you can come pick it up in 20 minutes."
"Can I please have your phone number?","Yes. [PHONE_NUMBER] okay. [PHONE_NUMBER] [PHONE_NUMBER]."
"Just a moment. Is it for [PERSON_NAME]?","Yeah."
"All right. What would you like to order?","Can I order one [ITEM_SIZE] pizza? Can I do half, please?"
"Yeah, sure.","One half [ITEM_NAME]."
"Okay.","And the other half? 1 second please. Sorry."
"No worries.","The other half, the [ITEM_NAME]."
"Okay. Anything else?","Just that one for pickup, please."
"All right. A [ITEM_SIZE] half [ITEM_NAME], half [ITEM_NAME]. That would be 24, 50. And you can pick it up in 20 minutes.","There's one called the barbecue pizza and the other one the [ITEM_NAME]. Is that the [ITEM_NAME] one?"
"Yeah. Yes, the [ITEM_NAME] one.","Okay. Cool, warm ponds, did you say?"
"Yes, warm ponds. Town and country.","Yeah."
"Okay, you can pick it up in 20 minutes.","Thank you."
"Yeah, it's [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER].","Thank you. Is that for [PERSON_NAME]?"
"It is, yes.","Thank you. And what would you like?"
"Can we grab a family pizza? We'll go half the lot, and then go a quarter margarita and a quarter Southwest chicken.","So half the lot, a quarter [ITEM_NAME] and a quarter [ITEM_NAME]?"
"Yes. Thank you.","Thank you. Anything else?"
"No, that's a lot. Thank you.","Thank you. That's $31, and you can come and pick that up in 20 minutes."
"20 minutes. Perfect. Thank you so much.","You're very welcome. Bye bye."
"Certainly. Can I get your phone number first, please?","[PHONE_NUMBER]."
"Thank you. Is that the [PERSON_NAME]?","Yes."
"Thank you. And what would you like?","Can I get your pizza and pasta special deal? For the pizza, can I please get half southwest chicken and half country special?"
"Okay. And the pasta?","Can I get carbonara with fettuccine, please?"
"And a garlic bread? Would you like anything else?","No, thanks."
"That's a [ITEM_SIZE] half country special, half southwest chicken, a main fettuccine carbonara and a serving of garlic bread?","Yes, thanks."
"Thank you. That's $45.90, and it'll be ready for you to pick up in 20 minutes.","Perfect. Thank you."
"Yeah. [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER].","[PHONE_NUMBER] thank you. Is that the same?"
"Yes.","Thank you. What would you like?"
"Can I get the two large? Deal, please. One, the southwest chicken.","Okay."
"And a large margarita.","Would you like anything else?"
"No, that's all. Thank you.","Thank you. A [ITEM_SIZE] southwest chicken. A [ITEM_SIZE] margarita, for $150. It'll be ready for you to pick up in 20 minutes."
"And that's at Hannah Country?","That's right."
"Yes.","Thank you."
"Okay. Halftown special. Large.","Before I proceed, sir, can I ask, is that for delivery or pickup?"
"No pickup. Pickup. Sorry.","Okay, no problem. I would need your phone number. Could you give me that next, please?"
"Yeah, double. [PHONE_NUMBER] at the end.","Let's have a look. One moment. Is that for Mr. [PERSON_NAME]?"
"Yes. Pretty close.","Welcome. You've ordered with us before, so let's proceed. What would you like to order this time, sir?"
"Yeah, like a large half town special.","Okay. And for the other half?"
"And half pesto feta.","Alright, so that's a [ITEM_SIZE] pizza with half [ITEM_NAME] and half pesto feta. Is that correct?"
"Yes. How long, roughly?","If I place that order now, you can pick it up in the next 20 minutes. Is there anything else you would like to add?"
"[PHONE_NUMBER] thank you.","Is that for [PERSON_NAME]?"
"Yes.","Okay, and what time would you like to come and collect it? 740, did you say?"
"Yes.","Okay, and what would you like, can I ask?"
"Are you doing the large pizzas for $15 on a Tuesday night?","No. We've got a deal with two [ITEM_SIZE] pizzas, which is $41.50?"
"Yes. All right. I'll do that then. Thanks. Can I grab one southwest chicken, no onion.","Okay."
"No jalapenos.","No jalapenos. Anything else?"
"I just want extra southwest sauce on it, please.","Okay."
"And the other large? I'll grab half town special, half Americana.","Okay."
"Does Americana have chili?","It's extra ham and hot salami."
"Can I have chili on it, please? Just a little bit.","Anything else?"
"That's it. Thanks.","Thank you. So you've got a [ITEM_SIZE] Southwest chicken with [ITEM_INGREDIENT] and [ITEM_INGREDIENT] removed, but added [ITEM_INGREDIENT] on. And you've got a [ITEM_SIZE] half Americana with [ITEM_INGREDIENT] and half town special."
"Yes.","Thank you. That's $41.50. And you can come and pick that up at 740."
"740. Yes. Do you want my card?","Would you like to pay by card? Okay. Details. Yes. Can I start with the card number, please?"
"[CREDIT_CARD_NUMBER]. [CREDIT_CARD_NUMBER]. [CREDIT_CARD_NUMBER]. [CREDIT_CARD_NUMBER] [CREDIT_CARD_NUMBER], [CREDIT_CARD_NUMBER] [CREDIT_CARD_NUMBER], and the expiry date, please? [CREDIT_CARD_EXPIRATION].","And the CVV, please."
"[CREDIT_CARD_CVV], [CREDIT_CARD_CVV], [CREDIT_CARD_CVV].","Thank you. If you just bear with me while the payment is processing. Perfect. That's done. You can come and collect that at 740."
"Thank you for calling town and country pizza and pasta.","Town and Country Pizza. How can I help you?"
"Hi, do you guys have a table for two tonight?","For two? Yeah, no worries. Can I just grab a name and time?"
"Maybe like 645?","Okay, 6:45. Yeah, that's all right. And could I just grab a name and phone number?"
"Yeah, so it's for [PERSON_NAME].","[PERSON_NAME]. And my phone number is [PHONE_NUMBER]?"
"So a booking for [PERSON_NAME] at 6:45 for two people. And the phone number to confirm?","Yes, that's correct."
"Okay, thank you.","No worries. We'll set it up and we'll see you soon."
"Yeah. [PHONE_NUMBER].","Thank you. Is that for [PERSON_NAME]?"
"Yeah, it is.","Thank you. And what would you like?"
"Could I get a large half margarita, half country special on the country special? Can I get the cheese on the top instead of the base, please?","Okay, so you'd like a [ITEM_SIZE] half [ITEM_NAME], half country special with the [ITEM_INGREDIENT] on top instead of the base, correct?"
"No, not add cheese. They usually put cheese on the base, but instead of the base, I'd like it on the top.","Understood. I'll make a note that you want the [ITEM_INGREDIENT] on top for the country special side of the pizza. Anything else?"
"No, thanks. Could I have that ready for 05:00?","Of course. Your [ITEM_SIZE] half [ITEM_NAME], half country special with [ITEM_INGREDIENT] on top will be ready for pickup at 05:00."
"If that's okay. Yeah, no.","That's fine. That will be $24. It should be ready for you to pick up at five then."
"No worries. [PERSON_NAME] going to pick it up, so I don't know if you want to put it under [PERSON_NAME]?","Yes, I'll put the order under [PERSON_NAME]'s name. Thank you very much."
"Hi. Can I place an order, please?","Yes, certainly. Is that for pickup or delivery?"
"Pickup. Thank you.","Pickup. Can I get your phone number first, please?"
"[PHONE_NUMBER], [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER], [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER].","Okay, thank you. Is that for [PERSON_NAME]?"
"Yes.","Thank you. And what would you like?"
"Two large pizzas, one with half Aussie, half Hawaiian.","Okay. Would you like anything else?"
"And the second large pizza, a country special, please.","And a [ITEM_SIZE] [ITEM_NAME] pizza. Anything else?"
"And a garlic bread, please.","And a garlic bread. Anything else?"
"No, that's it. Thank you.","Thank you. That's a [ITEM_SIZE] half [ITEM_NAME] and half [ITEM_NAME]. A [ITEM_SIZE] [ITEM_NAME] and a serving of garlic bread."
"Yes, that's it.","Thank you. That's 48 50 and you can come and pick that up in 20 minutes."
"Certainly. Is that for pickup or delivery?","Pickup."
"Please pick up. Can I get your phone number first, please?","[PHONE_NUMBER] okay. [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER]."
"Thank you. Is that for [PERSON_NAME]?","Yeah, it is."
"Thank you. And what would you like?","Can I please get the country special?"
"What size?","Just a large without the mushroom, without mushrooms. And a large Aussie, please. Okay."
"Would you like anything else?","No, that's all good. Thanks."
"Thank you. Large country special with the mushrooms removed and a large Aussie.","Thank you."
"Thank you.","Can I call over the phone?"
"Yes, of course you can. It's [PHONE_NUMBER] [PHONE_NUMBER]. You'll be ready for you to pick up in 20 minutes. And I'll just take some details off you.","Oh, no. Sorry. I said delivery."
"Sorry? Delivery. Sorry. If I could start with the card. Sorry. Did you say delivery? Let me just check.","Yeah, delivery. Sorry."
"No, it's okay. I seem to have you down as a pickup. I'm sorry. That's my fault. Let me change it to delivery. What's the address you'd like it delivered to?","[LOCATION] [LOCATION]. [LOCATION]. [LOCATION], [LOCATION] [LOCATION]."
"Okay. I'll just take some details if I can. Can I start with the card number, please?","[CREDIT_CARD_NUMBER] okay. [CREDIT_CARD_NUMBER] thank you."
"If I can have the expiry date, please?","[CREDIT_CARD_EXPIRATION]."
"And the CVV, please?","[CREDIT_CARD_CVV] [CREDIT_CARD_CVV] [CREDIT_CARD_CVV]."
"Thank you. If you just bear with me while the payment is processing.","Thank you."
"Thank you. Perfect. That's done. 46 50. It will be delivered to you in an hour's time.","In how long?"
"In an hour's time.","Okay. Thank you."
"Five.","So two more adults and three more children. So there'll be?"
"Eleven of us.","Eleven. Was that including a high chair as well?"
"Yes, it is.","Yes. Are you the manager?"
"I am not the manager, no.","Can I speak to the manager or you might be able to help me."
"Yeah.","My wife, [PERSON_NAME] [PERSON_NAME], put an order in and the lady on the phone didn't seem to understand the order."
"So just for [PERSON_NAME]?","Yeah, that's so."
"I'll just read what she's got down. So a large Aussie with a barbecue sauce base, no tomato sauce base and no egg. A large spaghetti with cheese on top and the small barbecue chicken.","And that spaghetti has got to have no bolognaise. It's got to have a tomato paste on top."
"That's right. I'll just let the kitchen know. Is that all good with the order other than the.","Yeah, because I had a problem with it last time and they put bolognaise and I don't eat it."
"So we can just put like Napolitana sauce on top.","No, just the pizza based tomato sauce."
"Yeah, no worries. We can do that for you. That one shouldn't be too far away for you.","No worries. Thank you."
"Would you have room for two people for dinner tonight, please?","Two people. So what time would you like? 5:30 or a quarter to six?"
"So 5:45?","Yes, 5:45. Two people. And would your preference be inside or outside, sir?"
"Inside, please.","Your preference is inside. Just a minute. I will just check with front of house for the availability. Okay. Just a moment."
"That was standing around seven.","You drive shift on each side."
"Mainly bar work. So when she starts working. If you work the first week, she's got a foreign. Next week. When you come in on Friday.","Hello, ma'am? Hello, sir, are you there? Yes. So it was two people and 5:45 outside tonight?"
"Yes, that's correct. Can I just grab your name and phone number, please?","Yes, it's for [PERSON_NAME]. Can I just have your contact number, please, [PERSON_NAME]?"
"My phone number is [PHONE_NUMBER].","Thank you, [PERSON_NAME], so we will see you at 5:45 tonight outside."
"Yes. [PHONE_NUMBER].","Alright. And that'll be for [PERSON_NAME]?"
"Can I have a gluten free country special, please?","Yes, that will be a [ITEM_SIZE] size though, because all gluten free bases are [ITEM_SIZE] size."
"Okay, that's fine.","Okay, that is set up. What else would you like?"
"And then can I have a medium thin base with barbecue chicken and half Hawaiian, please.","Okay, so we're doing a [ITEM_SIZE] [ITEM_NAME] with [ITEM_NAME], one half and half. Got it right. [ITEM_NAME] with [ITEM_NAME]. And we're keeping this as thin base."
"Thin base, that's correct.","Okay. No changes on the ingredients for either one of them?"
"No, thank you.","Okay, that's fine. So I've got [ITEM_NAME] and [ITEM_NAME], half and half, [ITEM_SIZE] size, and both are thin based. Anything else?"
"No, that's all. Thanks.","Okay, that'll do. Any garlic bread, drinks, desserts?"
"No, thank you.","Wonderful. That all totals down to $42 and that'll be ready to pick up in about next 20 minutes at Town Centre. Okay."
"Delivery, please.","Delivery is about 1 hour, though. Is that going to be alright with you?"
"Yeah, that's fine.","Alright, let's get your phone number. Can you read it out to me, please, before I take your order?"
"My phone number is [PHONE_NUMBER].","Could you repeat the phone number again, just to make sure I've got it right?"
"Sure, it's [PHONE_NUMBER], [PHONE_NUMBER], and then [PHONE_NUMBER].","I've got that, [PHONE_NUMBER]. Is that for [LOCATION] [LOCATION], [LOCATION] [LOCATION] [LOCATION]?"
"Yeah, that's correct.","What would you like to order?"
"I just want to get a town special without olives and anchovies.","Okay, one [ITEM_SIZE] [ITEM_NAME] without [ITEM_INGREDIENT] and [ITEM_INGREDIENT]. Anything else?"
"That's it. But I actually work there, so do I get a discount?","Normally discounts for employees are handled directly with the store. Would you like me to transfer your call to the store as this is the call center?"
"Yes, could you transfer me, please?","Sure, no problem. I'll do that now. Just so you know, your order total is $29, plus $5 for delivery, making it $34. I'll go ahead and transfer you now and see if they can assist you with the discount."
"Hi, it's [PERSON_NAME] from work. I just want to order a pizza.","Hi, yes. Delivery or pickup?"
"Delivery, please.","Delivery, got it. Can I confirm your phone number?"
"It's [PHONE_NUMBER], [PHONE_NUMBER], [PHONE_NUMBER].","And you're at [LOCATION] [LOCATION] [LOCATION] in [LOCATION] [LOCATION]?"
"Yes.","What can I get for you?"
"Can I get a town special without olives and anchovies?","What size would you like?"
"Large, please. Do I get a discount with that, too?","Yes, you do. However, you have to have a minimum order of $30. It's at $29 right now. Would you like to add something small, like a can of coke, to meet the minimum?"
"Yeah, that's fine. Can I add a can of coke then?","Sure, with the can of coke added, your total is now $30. I'll apply your discount. Just to confirm, you're ordering a [ITEM_SIZE] [ITEM_NAME] without [ITEM_INGREDIENT] and [ITEM_INGREDIENT], and a can of coke. The total with your discount is $28.40. I'll take the payment details now."
"Great, I'd like to pay with my card.","Can I have your card number, please?"
"It should already be in there. Or does it not save?","It doesn't save for security reasons. Could you provide the number, please?"
"Okay, the number is [CREDIT_CARD_NUMBER], and the expiry is [CREDIT_CARD_EXPIRATION].","And the security code on the back of the card?"
"Good, thank you. I just wanted to pop in an order, please.","Certainly. Is that for pickup or delivery?"
"Pickup. Thank you.","Pickup. Can I get your phone number first, please?"
"Yep. It's [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER].","Thank you. Is that [PERSON_NAME]? Thank you. And what would you like?"
"Can we grab two large pizzas, please? Can we grab one with half town special?","Okay."
"And half pepperoni?","Okay."
"And the other one, can we grab half garlic and can we do quarter margarita, please?","Okay."
"And quarter barbecue chicken.","And quarter barbecue chicken. Anything else?"
"Yeah, with the barbecue chicken. Can we please have pineapple on that?","Of course you can. Anything else?"
"No, that's all good. Thanks.","Thank you. I'll repeat your order for you. You've got a [ITEM_SIZE] half [ITEM_NAME] and half town special. You've got a [ITEM_SIZE] four quarters, which is half garlic cheese, a quarter [ITEM_NAME] and a quarter [ITEM_NAME] with [ITEM_INGREDIENT]."
"Yes. Thank you.","Thank you. That's 42 50, and you can come and pick that up in 20 minutes."
"[PHONE_NUMBER], [PHONE_NUMBER], [PHONE_NUMBER] [PHONE_NUMBER], [PHONE_NUMBER], [PHONE_NUMBER] [PHONE_NUMBER].","Okay."
"[PHONE_NUMBER], [PHONE_NUMBER], [PHONE_NUMBER].","Is that for [PERSON_NAME]?"
"Yes.","Thank you. What would you like to order?"
"Oh, I haven't even actually thought about it. Can I get two large Hawaiian? What are they, tropical? Is that what they're called?","There's Hawaiian and there's Mexican. The Hawaiian has cheese, ham, and pineapple."
"What's the gourmet one called? Virginia.","Virginia, yep, that's right."
"Yeah. I'll get two large Virginia and a large chicken, please. Is it chicken barbecue sauce?","Would you like the chicken with barbecue sauce or tomato sauce?"
"However it normally comes.","Okay. And that's a [ITEM_SIZE] you said?"
"Yes, please.","Thank you. Would you like anything else?"
"Yeah, two garlic breads.","Two garlic breads. Anything else?"
"No, that's all. Thank you.","Thank you. That's two [ITEM_SIZE] [ITEM_NAME] pizzas, a [ITEM_SIZE] barbecue chicken, and two servings of garlic bread. Your total is $81.50. It'll be ready for you to pick up in 20 minutes."
"Certainly. Is that the pickup or delivery?","Pickup. Please pick up."
"Can I have your phone number first, please?","Yep. [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER]."
"Okay.","[PHONE_NUMBER] [PHONE_NUMBER]. Oh, thank you."
"You're welcome. Confirming, is that for [PERSON_NAME]?","Yes, thank you."
"What would you like?","Can I get one pizza size up from the large, I think. Is it a family?"
"Yep, that's right.","Extra large or something? Yep. Can I get one half southwest chicken?"
"Okay.","And the other half Aussie. But can I get pineapple, cheese and garlic put on top? Just on top."
"Of the Aussie?","On top of the Aussie, yes."
"Okay. Would you like anything else?","No, that's all, thank you."
"You've got a large half southwest chicken and. Sorry, you've got a family. Is it family or large?","Sorry, family."
"So you've got a family. Half southwest chicken and half Aussie with garlic, pineapple and cheese.","Yes, thank you."
"That's $34 and it should be ready for you to pick up in 20 minutes.","20 minutes. Okay, thank you."
"I would like a Family size Margherita, but with no onions.","One [ITEM_SIZE] [ITEM_NAME] pizza without [ITEM_INGREDIENT] coming right up."
"Is it possible to get a half Pepperoni, half Hawaiian pizza?","Yes, we can prepare a half [ITEM_NAME], half [ITEM_NAME] pizza for you."
"Do you have a vegan cheese option for the Oceana pizza?","We do offer a vegan [ITEM_INGREDIENT] option for our [ITEM_NAME] pizza."
"Can I get the Fettuccine Metricana without capsicum?","Certainly, we'll prepare the [ITEM_NAME] without [ITEM_INGREDIENT] for you."
"Yes, it is. It's [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER].","Thank you. Is that for [PERSON_NAME]?"
"Yes, it is.","Thank you. And what would you like?"
"Can I have a large half meatball and half country special?","Anything else?"
"Can I have the meatballs with tomato sauce, not barbecue, please?","Okay, so you'd like the barbecue sauce removed and tomato sauce added, is that right?"
"That's exactly right.","Anything else?"
"A medium Southwest chicken and a medium cheese garlic pizza.","Okay. Anything else?"
"No, that's it. Thank you.","Thank you. That's a [ITEM_SIZE] half meatball with barbecue sauce removed and tomato sauce added, and half country special, a [ITEM_SIZE] Southwest chicken, and a [ITEM_SIZE] cheese garlic pizza. Your total is $62 and you can pick it up in 20 minutes."
"Like Cecilia? Yeah. Pepperoni, thanks.","Pepperoni? And that's a [ITEM_SIZE]?"
"Yes, please.","Okay. It won't allow me to modify the order because it's already placed. What I'll do is I'll just transfer your call to management and they can change that order for you."
"[PHONE_NUMBER], [PHONE_NUMBER] [PHONE_NUMBER] [PHONE_NUMBER].","Okay. Is it for [PERSON_NAME]? Yes, it's [LOCATION] [LOCATION] [LOCATION]. [PERSON_NAME]."
"Yes.","All right. What would you like to order?"
"Can I get a large half sardine chicken and half pepperoni with cheese on top of all of the pizza?","Okay. You want classic pepperoni or hot? We have two types: one is classic pepperoni and the other one is hot pepperoni."
"No, just the classic.","All right. And cheese on top of the entire pizza, correct?"
"Yes. Of both sides.","Got it. What else would you like to order?"
"Another large half country special and half Aussie with cheese on top of both sides as well.","All right. Anything else?"
"And a garlic bread.","Okay, got it. That's all?"
